,sentences
0,"['metaverse', 'utopia', 'dystopia']"
1,"['louis', 'rosenberg']"
3,"['ninety', 'five', 'people', 'believed', 'virtual', 'would', 'everywhere', 'within', 'five', 'year']"
4,['believer']
6,"['last', 'twelve', 'eighteen', 'month', 'largest', 'company', 'world', 'realized']"
7,"['important', 'consumer', 'business']"
8,"['planning', 'near', 'future', 'significant', 'part']"
9,"['started', 'foundation', 'call', 'augmented', 'reality']"
10,"['operating', 'field', 'artificial', 'intelligence']"
11,"['access', 'personal', 'history', 'know', 'like', 'tendency', 'know', 'likely', 'persuaded']"
12,"['reading', 'facial', 'expression', 'maybe', 'even', 'heart', 'rate', 'blood', 'pressure']"
13,"['need', 'gore', 'rail', 'play', 'utopian', 'vision', 'could', 'distorted']"
15,"['nick', 'rosa', 'accenture']"
16,['daniel']
18,"['louis', 'pioneer', 'field', 'augmented', 'virtual', 'reality']"
19,"['tell', 'little', 'career', 'beginning']"
20,"['involved', 'thirty', 'year', 'back', 'early', 'beginning']"
21,"['started', 'researcher', 'nasa', 'working', 'virtual', 'reality', 'vision', 'system', 'first', 'work', 'model', 'inter', 'intra', 'ocular', 'distance', 'distance', 'eye', 'writing', 'software', 'spending', 'time', 'using', 'various', 'vision', 'system', 'immediately', 'captivated', 'potential', 'virtual', 'world']"
22,"['felt', 'confident', 'gonna', 'change', 'society']"
23,"['excited', 'start']"
24,"['time', 'spending', 'lot', 'time', 'virtual', 'virtual', 'reality']"
25,"['also', 'like', 'real', 'world']"
26,"['felt', 'like', 'experience', 'amazing', 'also', 'felt', 'like', 'isolating', 'natural', 'experience']"
27,"['real', 'first', 'thing', 'felt', 'wish', 'could', 'take', 'power', 'splash', 'real', 'world', 'back', 'phrase', 'augmented', 'reality']"
28,"['pitched', 'force', 'fortunate', 'enough', 'funded', 'build', 'first', 'really', 'functional', 'augmented', 'reality', 'system']"
29,"['called', 'virtual', 'fixture', 'platform']"
30,"['crazy', 'system', 'required', 'million', 'dollar', 'hardware']"
31,"['vision', 'system', 'hanging', 'ceiling']"
32,"['exoskeleton', 'people', 'would', 'wear']"
33,"['might', 'seen', 'picture']"
34,"['skeleton', 'would', 'track', 'hand', 'motion', 'feedback', 'feedback']"
35,"['fully', 'functional', 'system', 'meaning', 'first', 'time', 'people', 'could', 'reach', 'interact', 'really', 'mixed', 'reality', 'real', 'world', 'virtual', 'world', 'together', 'could', 'virtual', 'object', 'bump', 'real', 'object', 'true', 'augmented', 'reality', 'mixed', 'reality', 'experience']"
36,"['great', 'really', 'great', 'experience', 'really', 'even', 'excited', 'field', 'really', 'important', 'thing', 'career', 'experiment', 'brought', 'kind', 'people', 'street', 'experience', 'running', 'research', 'study', 'augmented', 'reality', 'could', 'enhance', 'human', 'performance', 'people', 'would', 'come', 'exoskeleton']"
37,"['would', 'test']"
38,"['every', 'single', 'would', 'like', 'amazing']"
39,"['nineteen', 'ninety']"
40,"['thirty', 'year']"
41,"['think', 'would', 'take', 'thirty', 'year', 'feel', 'like', 'reality', 'augmented', 'reality', 'would', 'change', 'world', 'went', 'back', 'silicon', 'valley', 'founded', 'company', 'called', 'immersion', 'corporation', 'early', 'company']"
42,"['built', 'somewhat', 'really', 'first', 'virtual', 'reality', 'simulator', 'medical', 'school', 'doctor', 'could', 'train', 'company', 'kept', 'selling', 'decade']"
43,"['immersion', 'went', 'public', 'nineteen', 'ninety', 'nine']"
44,"['think', 'oldest', 'reality', 'company', 'world', 'early', 'day']"
45,"['founded', 'current', 'company', 'unanimous', 'artificial', 'intelligence', 'company', 'focus', 'amplifying', 'group', 'intelligence', 'shared', 'environment', 'really', 'focused', 'stuck', 'human', 'side', 'thing']"
46,"['second', 'part', 'podcast', 'gonna', 'really', 'deep', 'dive', 'potential', 'danger', 'matter']"
47,"['would', 'like', 'little', 'back', 'story', 'early', 'day', 'real', 'early', 'day', 'augmented']"
48,['reality']
49,"['real', 'start', 'late', 'eighty']"
50,"['fortunate', 'enough', 'stanford', 'called', 'center', 'design', 'research']"
51,"['handful', 'researcher', 'looking', 'reality', 'looking', 'tele', 'augmented', 'reality', 'exist', 'back', 'would', 'think', 'current', 'technology', 'television', 'people', 'spent', 'decade', 'learning', 'frame', 'rate', 'learning', 'basic', 'perception', 'capability', 'kind', 'frame', 'rate', 'need']"
52,"['television', 'look', 'smooth', 'back', 'late', 'eighty', 'early', 'ninety', 'people', 'asking', 'question', 'immersive', 'world']"
53,"['kind', 'update', 'rate', 'need', 'move', 'head', 'nauseous', 'kind', 'accurately', 'build', 'model', 'inter', 'rock', 'distance', 'depth', 'perception']"
54,"['really', 'basic', 'parameter', 'research', 'topic']"
55,"['back', 'ninety', 'ninety', 'five']"
56,"['virtual', 'reality', 'really', 'took', 'public', 'consciousness']"
57,"['people', 'really', 'realize']"
58,"['like', 'people', 'today', 'least', 'realize', 'nineteen', 'ninety', 'five', 'virtual', 'audio', 'cover', 'wired', 'magazine', 'statement', 'saying', 'next', 'thing']"
59,"['people', 'really', 'believed', 'back']"
60,"['eighty', 'five', 'people', 'believed', 'virtual', 'would', 'everywhere', 'within', 'five', 'year']"
61,"['well', 'believer']"
63,"['founded', 'first', 'company', 'nineteen', 'ninety', 'three', 'believed', 'thousand', 'seven', 'year', 'reality', 'would', 'everywhere']"
64,"['venture', 'capitalist', 'believe', 'well', 'early', 'ninety', 'really', 'half', 'topic', 'around', 'nineteen', 'ninety', 'seven', 'fell', 'edge', 'world', 'even', 'mention', 'word', 'virtual', 'reality', 'venture', 'capitalist']"
