,sentences
0,metaverse utopia dystopia
1,louis rosenberg
3,ninety five people believed virtual would everywhere within five years
4,believers
6,last twelve eighteen months largest companies world realized
7,important consumer business
8,planning near future significant part
9,started foundation call augmented reality
10,operating field artificial intelligence
11,access personal history knows likes tendencies knows likely persuaded
12,reading facial expressions maybe even heart rate blood pressure
13,needs gore rails plays utopian vision could distorted
15,nick rosa accenture
16,daniel
18,louis pioneers field augmented virtual reality
19,tell little career beginnings
20,involved thirty years back early beginning
21,started researcher nasa working virtual reality vision systems first work model inter intra ocular distance distance eyes writing software spending time using various vision systems immediately captivated potential virtual worlds
22,felt confident gonna change society
23,excited start
24,time spending lots time virtual virtual reality
25,also like real world
26,felt like experience amazing also felt like isolating natural experiences
27,real first thing felt wish could take power splash real world back phrase augmented reality
28,pitched force fortunate enough funded build first really functional augmented reality system
29,called virtual fixtures platform
30,crazy system required million dollars hardware
31,vision system hanging ceiling
32,exoskeleton people would wear
33,might seen pictures
34,skeleton would track hand motions feedback feedback
35,fully functional system meaning first time people could reach interact really mixed reality real world virtual world together could virtual object bump real object true augmented reality mixed reality experience
36,great really great experience really even excited field really important thing career experiments brought kinds people street experience running research studies augmented reality could enhance human performance people would come exoskeleton
37,would tests
38,every single would like amazing
39,nineteen ninety
40,thirty years
41,think would take thirty years feel like reality augmented reality would change worlds went back silicon valley founded company called immersion corporation early companies
42,built somewhat really first virtual reality simulators medical schools doctors could train company kept selling decades
43,immersion went public nineteen ninety nine
44,think oldest reality company world early days
45,founded current company unanimous artificial intelligence company focuses amplifying group intelligence shared environments really focused stuck human side things
46,second part podcast gonna really deep dive potential danger matter
47,would like little back stories early days real early days augmented
48,reality
49,real start late eighty
50,fortunate enough stanford called center design research
51,handful researchers looking reality looking tele augmented reality exist back would think current technology television people spent decades learning frame rate learning basic perception capabilities kind frame rate need
52,television looks smooth back late eighties early nineties people asking questions immersive worlds
53,kind update rates need move head nauseous kind accurately build model inter rock distance depth perception
54,really basic parameters research topics
55,back ninety ninety five
56,virtual reality really took public consciousness
57,people really realize
58,like people today least realize nineteen ninety five virtual audio cover wired magazine statement saying next thing
59,people really believed back
60,eighty five people believed virtual would everywhere within five years
61,well believers
63,founded first company nineteen ninety three believed thousand seven years reality would everywhere
64,venture capitalists believe well early nineties really half topic around nineteen ninety seven fell edge world even mention word virtual reality venture capitalists
65,people often happened happen happened internet happened important critical technology virtual worlds boom happened every ounce excitement every dollar venture capital went building basic flat businesses
66,reality fell favor decade probably fifteen years
67,gonna question sitting twenty twelve
68,hearing gonna next biggest thing thinking said thinking yeah time
69,twenty twelve started come back really around twenty fourteen
70,really
71,started kinda hype nineteen ninety five
72,time twenty fourteen working professor california state university teaching courses entrepreneurship actually advising variety companies ended advising student startups world
74,know distinctly remember saying thing learned space things take longer expect hype around early twenty tens felt okay
75,getting closer
76,probably little overly optimistic
77,advice start time prepare
78,stain long haul gonna business plan realizes three years
79,seven year plan
80,personal time keeps real
81,time
82,industry really coalesce around concept startups venture capitalists major corporations investing meta really happen level realizes excitement people know thirty years
83,last twelve eighteen months really largest companies world
84,realized important consumer business
85,important mainstream computing
86,planning future meta significant part
87,virtual meta augmented matter
88,virtual meta fully simulated worlds people avatars augmented universe virtual layer real world reason split mind really different industries evolve parallel coming evolving existing industries
89,virtual meta evolving gaming industry social media industry whereas
90,virtual meta fully virtual worlds evolve really focused socializing entertainment shopping gaming fully simulated worlds whereas augmented meta versus really evolving mobile phone industry evolving handheld phone turn augmented reality eyewear wear really mobile media
91,different players different focus different interactions
92,happening parallel
93,personal view actually easier predict augmented matter looking time frame things evolve
94,easier predict rapid adoption augmented meta whereas fully virtual meta little harder predict
95,really depends people wanting spend significant amounts time fully simulated worlds
96,interesting people think virtual worlds obviously first interesting aspect matter versus able bring digital content real world creating kind connection digital real
97,probably fascinating aspects think right talking augmented matters evolution mobile market
98,think situation right life without mobile phone less meaningful mobile phone connected
99,things
100,work
101,connect friends check news
102,data information coming towards
103,future gonna probably important vital gonna also connected directly meaning reality
104,really meta transition information stuck little flat window hand information placed world natural intuitive locations location want
105,really augmented meta human agonizing technology information form perception system designed perceive
106,spatial content around
107,content
108,potential augmented augmented reality augmented extreme make world natural downsides cutting real world
109,like think adoption path thing okay
110,back think thousand seven everybody using flip phones nobody thought needed smartphone nobody thought would ever spend thousand dollars phone apple launches iphone
111,within five years smartphones went zero completely replacing flip phone market despite fact significantly expensive major major corporations launch augmented reality could exact kind transition happening first supported developers creating interesting content apple launches augmented reality eyewear interesting creative content quickly point people eyewear feel like missing content
112,actually feel actually feel even intensely difference smartphone flip phone
113,literally things world even
114,early twenty thirties could really augmented meta really changing society changing people
115,pioneers years field virtual reality
116,started foundation call augmented reality
117,operating field artificial intelligence
118,tell little first steps
120,background interest really technologies used amplify human abilities
121,interest really interface humans computers interest initially virtual reality augmented reality technology allow people perform tasks better long time really focused technology make enhance single individual performance
122,virtual fixtures platform built force allow people like perform manual tasks augmented reality could perform task faster better years started really thinking individuals groups people
123,technology enable groups people perform better started look looking artificial intelligence thing connect groups people together better
124,groups make better decisions better predictions better forecasts
125,really path
126,using really unique connect groups people together make collectively smarter
127,developed technology call swarm
128,called things years really thinking
129,make groups intelligent
130,like many know types technology
131,always useful back look nature
132,nature
133,turns nature spent hundreds planes years evolving methods large groups actually optimize combined intelligence
134,biologists call swarm intelligence swarm intelligence reason birds flock fish school swarm
135,significantly smarter together alone
136,make much better decisions
138,terms swarm intelligence think school
139,school fish could thousands individuals
140,slightly different view world
141,slightly different historical memories experiences
142,slightly different personalities charge
143,fish charge school fish navigate ocean make good decisions successful species hundreds millions years working together system
144,take vote
145,take poll
147,take survey
149,work real time system pushing pulling little signals allow group make make really good decisions
150,biologists would call super organism
